Emotion,Text
worry,"@eclip5e Good lord, man.   I recommend the Dark &amp; Stormy at Casablanca."
worry,Currently drinking effervescent Vitamin C. This sore throat is getting worse...
sadness,Man I wish I was back in high school. But only because I miss basketball. #pathetic
worry,"the day i was planing on doing my work, i havent ...... i leave everything to the last minuet ..."
anger,I sent a book to a friend of mine.  The book meant a lot to me and he lost it.
anger,"If she didn't know him better , she would have said he was cross with her . "
surprise,Man I miss my bff's @Emyhellokitty  and Amdrea!!! Andy is gonna hate me when she finds out I'm really coming home! 
fear,"RT.RT.RT @RevRunWisdom not afraid of tomorrow, for I have seen yesterday and I love today #less"
worry,@winebratsf What are those barrels made of? Hey pass that barrel
joy,Oh how I love working on homework til 11 o'clock at night 
joy,“@CalebSmith41: Money can't buy joy” Only peace of mind! 
surprise,Thought i had hours left to sleep my alarm went off
worry,Good Morning!
love,@lauralassiter Welcome  They are beautiful snow leopards.
worry,So disappointed about the talent lineup for &quot
anger,"` Damn ! "" she muttered in exasperation . "
surprise,S/o to @JakeDeMasi 's reaction to his surprise party  
worry,omg!! i have so many finals to study for !!! i so freaked out that im gona fail
sadness,I remember my despondency in 1926 when Abd al Karim was forced to surrender to the French . 
sadness,I always get super disappointed when I pass a horse trailer and there's no horses in it:( 
worry,@Jessicaveronica OMG YAYA!!! we put you #5 please not the end of the year
joy,When my mother was tremendous on the phone and we talked for hours. She was in a good mood.
love,@maddiMADCORE lololol i love kenan and kel its rocks soo hard and im watching it now..right now.
worry,poor baby girl chloe is freaking out because of all of the noise!  She so cute and pitiful hiding under the middle of the table!
joy,"My Friday night shall be filled with awesomeness 'cause I totally have a life!! Jokes, I'll be editing all night! &#xA;Stay cool tweeters!!"
neutral, No.Why ? 
worry,@InNoSenseLost I know. But it won't be the same
anger,the worst part waiting for winter break is im already in it but can't leave school till Tuesday. &amp; I have nothing to do till then. 
sadness,@KingJoker5388 ouch! -- I thought I was a debt free man (besides mortgage) before reading those stats. 
love,@cwpicketandco It's pretty warm out now! I forgot K was sick though.
surprise,"@MeganIsTheWay well I'm sure Saturday morning will make up for it :D (also, you last tweet best not be about me!) Haa"
joy,Taking the ACT this morning. #idratherbesleeping
fear,Crossing a street of several ways the cars began to move and I thought that I was going to be trampled.
joy,"I 'm just so excited , because he says I can be in charge of it . "
love,"@Mennard You are very sweet, my everyday hero friend"
sadness,What this implies and should express is the field-worker 's moral commitment to his foreign hosts ; this can be the source of much personal anguish and heart-searching . 
fear,"As a child, one evening I had read a novel about ghosts and I had thus spent a sleepless night as I kept feeling that there were ghosts dancing around me."
joy,I got a present from a great friend (a dog).
sadness,"Now it's half time, I can take a moment to mourn Dom, who sacrificed his own life to save me &amp; the rest of the COG squad earlier... "
worry,"When the weather's... ugh, something like asthma. So, yeah, Ventolin."
joy,A now has a new trick to get out of sleeping. &quot;I go potty.&quot; 
worry,@spizer that's what it is in mathematica. I just meant that I automatically hit the button twice now.
joy,&quot;My soul magnifies the Lord for He has done great things for me...&quot; 
sadness,going in my bed and staying there in the dark for tonight and all of  my sunday.
joy,When my brother who has been out of New Zealand for 10 years came to visit with his wife which none of our family had previously met.
sadness," I'll have us ready for Stars.com by the end of next week . After that , I don't know . "
sadness,_is having the luxury to contemplate while the vast majority of the people on earth can not
sadness,huhuhu i wanna watch the united cube concert 
joy,"Too cold, no make-up, hair bunged up.. Well today's going to be fun! "
surprise,"While my man played video games, I cleaned his whole house. #awardedbestgirlfriend"
fear,"When mother was very ill, I feared that she would die."
neutral,"Hey Lydia , what are you reading ? "
joy,Full week of school and full week of practice 
sadness,i miss my long hair. ): 
worry,@janeyha I'm stuck with BOO!!!! Jeeeez shoot me now
sadness,Havent had phone time in 2 days.... 
worry,"Not feeling too good at ALL, about to head to work from 12-5.  Not a bad shift, just not fun when you don't feel well! Hope it goes FAST"
worry,"is suffering from hayfever, is drowsy from too much Piriton, and is heading to bed with the air purifier on"
joy,This pen is not coming off my hands. Looks like I have cuts everywhere and I've an &quot;interview&quot; tomorrow 
sadness, What ? That ’ s odd . I ’ m so sorry if I ’ Ve bothered you . 
joy,ew  I forgot I have to see stupid fucking people today. 
sadness,Not realisation of the desired profession (aviator).
surprise,Papa had een super leuk paard voor me gemaakt!! 
joy, Me too . I ’ ll write to you once I get settled . But I have so much to do . You might have to wait a while . But I really will write to you . I love to write letters . I think it ’ s more meaning than the emails even than the phone call . 
joy,Papers and football all day tomorrow. 
fear,Almost crashing into the back of a car while driving along the motorway on my motorcycle.
joy,I Ordered This Fall Colored Orange Blazer It's BEAUTIFUL 
joy,Don't ask who will love Me! Who do you love?     #caring
sadness, I doubt if I can pass it . 
joy,Came home from vacation to find out a fish rotted in our fridge and it smells awful! To top it off my room is right next to the kitchen 
joy,Tis the season for cherry cordial Hershey kisses 
love,"happy mothers day, too all mums out there  remember treat your mum well, she brought you into this life =]"
joy,Spanish mid term on my birthday. 
fear,"@DougSloan People, a majority according gallup nationwide, support legalizing marijuana, so why don't Dems? #racism #closemindedness"
worry,massive headache. argh
sadness,This sucks.. Now there's gonna be the same crap for @SportsCenter top 10 every night. 
worry,"New crisis, my bag is too eavy for my DoE"
fear,Google maps street view muestra una clinica de proctologia en la direccion que me dieron para una fiesta... Creo que no ire... 
sadness,"Lucille 's despondency was caused by a fear of Sharpe 's death , not a British defeat , but she dared not articulate such a thought . "
joy,Good morning and  I'm off to work until 8 tonight... 
sadness," I've lost my Traveller's Cheques , all of them . "
love,@CPaladino My cats enjoy the sunbeams from the open windows.  I think that counts.
sadness,@charquaouia they don t even bother to pretend.. bla men fed7ohoom.. fed7o ryooshom  making place for 
joy,"He considered this thoughtfully , then a gleam of amusement came into his eyes . "
joy,"Eating a massive chicken wrap, chips and cheesy sticks with @juhiipatel. Mmm "
anger,"There's my iPod armband, that was missing for two weeks. On my desk. Ostensibly there the whole time. "
joy,That glorious moment when your turn signal matches the beat of the song on the radio 
surprise,Heeft iemand van die kleine plastic cowboy en indianenpoppetjes die ergens liggen te verstoffen? Kan ze goed gebruiken!! #dtv
joy,Have a good day everyone. I have a life to live and I better get to living it cuz time is running out..   #decency #kindness
worry,@adrenalynntoao I've been readin your last few twitts. I hope your ok
joy, Congratulations ! That ’ s wonderful . I bet both of you are quite happy . 
worry,@kekeinaction LOVE your show  !
surprise,"Exam starts in 1 hour.. BTW, we just knew we're having the prelim 30 minutes ago. "
love,happy mother's day
worry,Had a nice dinner with the hubby and now on our way home  45 min drive out of the city. *sigh*
sadness,"When he told me I had to work overtime , that was it . "
fear,I asked someone to bring some present to my father and found out that he is not a reliable person. I was afraid if my father would not get the presents he would be angry with me.
worry,FML. I hate CSS SO BAD. I can't find an lj layout that has everything I want.
anger,News night report on vulture capitalists. Not sure I should watch this before bed time. 
love,"@stevecarell Hey Steve.   I think you are such an awesome actor. I love every movie you are in, and I love The Office."
joy,I spent a lovely relaxing evening with my boyfriend. We played games and talked all evening.
love,Wishing all the mommies a happy mother's day
love,@heatherbond I'd love to!!
joy,"&quot;@MeganBohinc: &quot;I went to bed dreaming, You woke me up singing&quot; #psalm90:14 #mandisa&quot;// @KevinMcMonigle I found a MANDISA LOVER!!"
joy,All peaceful and quiet then... The siblings arrive home 
sadness,I didn't get the job I wanted.
worry,"making mashed potatoes, and vegies to go with @JoelyRighteous's t-bone steak for when he gets home"
neutral,I would like to register for a class today . 
sadness,@bigbadcraig20 @sirakashshah tell me about it... i miss you guys when i'm in classes i can't imagine this break #basketsfullofcats
worry,"@selenagomez Hi S, plz follow me"
anger,changing my lifestyle...think imma add more  and a little less the father loves me its my turn to give hime sum luv RT  ...
joy,My wife has just started using twitter &amp; she's telling me who *I* should be following... because they are people I &quot;need to listen to&quot; 
worry,Creased my nikes!!  ohh well... http://twitpic.com/66zfd
sadness,hates waking up when Im in a deep sleep :(
joy,today is going to be just as busy as yesterday 
fear,"Et là, mon coeur s'est arrêté de battre. J'ai cru que nous étions le 17. "
fear,Only positive of this game was the factor commercial
worry,@ricanitaliana89 u really don't think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u
joy,"For my part , I feel elated and close to tears . "
joy,I have discovered the very pinnacle of human civilisation: the Ocado iPad App. 
fear,"Daisy leaned forward , at once horrified and fascinated . "
fear,fucking tigerfish. fucking earth shakingly terrrible. 
joy,"for those of you who don't know, my room has a ton of christmas lights up in it. falling asleep to the soft lightening is amazing. "
surprise,"&quot;if I don't love it, I don't swallow&quot; I dare you to guess which movie that's from! "
joy,I love Christmas Music! Just gets me in the Holiday spirit:) #tistheseason
sadness,That sad feeling you get when you can really tell the week end is over!!! #timeflies #weekend
worry,Up. Showered. Struggling for the drive to get out the door. I'm gloomy. I miss my sway.
surprise,Ugly meter reads: if beauty was time I would be an eternity 
anger,140 characters is not enough to rant about our shit tory government. make the rich richer and let the poor rot in a hole.  
sadness," It ’ s not really an occasion , it ’ s more like I ’ m sorry . "
sadness,She sounded a little low-spirited . 
surprise,DAMN-----&gt; She Got Her EyeBrows Arch Sooo High Every Time She Look At Me I Think She Tryin To Me...........WTF
love,@polyzzz Goodnight and sweet dreams to you also
neutral, And . 
worry,"@LindseyJaffe Loved the shoutout on TweetHampton, congrats!! Hope you're feeling better, i missed you last weekend"
worry,"I got battery acid in an open wound on my index finger  Fuck, it burned so much."
anger,The guard stiffened in anger . 
sadness,@KourtneyKardash @KimKardashian I missed  I was so exhausted from  that I fell asleep! :'(
sadness,"Feeling desolate , she climbed back into the car , not daring to look at Roman in the silver moonlight . "
joy,When I passed an important exam.
love,@chully LOL too bad he's taken!!!!!!!
love,"so star trek pretty much rocked my life ... oh wait, it DID rock my life"
fear,Tug had just one glimpse of the girl 's horror as her mouth and her eyes opened wide . 
anger, You should've been done already . 
love,"All you moms, get ready to enjoy your much-deserved special day!"
anger,"After this she ceased to blame herself for the breakdown of their marriage , but instead expressed considerable anger towards her husband . "
joy,"@Brookstone Its clear u r ahead of the game w/ personal massagers, but u haven't experienced the check out our sleek + stylish new line"
anger,When my friends tried to discriminate against my friendship with certain other friends which they thought was improper.
love,@kman_19 aw check out what i JUST posted http://eveinbangkok.blogspot.com  i really admire your mom. she's a strong woman. god bless her
joy,The snow makes my job just slightly more bearable... That is until I have to see tracksuit mcwetass and his fannypack bringing empties 
surprise,that  onside kick was crazy #sec
neutral, Um ? 
joy,TO THE WORLD! THE #LORD HAS COME! LET EARTH RECEIVE HER KING!!!!!! #bejoyful
love,SUPER BUENO FTW!!! I am so proud of you guys.
sadness," Well , it ’ s hard to say . I coughed a lot in the evening . "
joy,"In the army, my result at the shooting exercises got me a three day furlough."
surprise,@kaylaaonaaogden what a great last night was so great! We've gotta do it again real soon! :) #happythanksgiving
anger,“@GHASF At the core of anger is either fear or hurt. Learn to forgive for the hurt &amp; you will resolve a lot of your issues.”
anger,such a good plan fucked up #dontgiveadung #vball
joy," Let ’ s see . . . you ’ re a Capricorn . It says that you will be feeling stress at work , but you could see new , exciting developments in your love life . Looks like we ’ ll both have interesting summers ! "
love,@MaheshKukreja You too sweetie
surprise,Waking up with a headache u didn't go to sleep with  
sadness,aww. i hear mario kart being played downstairs by the homies as i continue to study for finals. 
worry,@BuzzEdition reminds me of the weather a month ago it was horrible  I hope all is well hugs
anger,My older brother who gives me unwanted advices about problems in my relationship with my girlfriend.
surprise,RT&quot;@MrKanyeWestJr: Classes Start Today It Has Been A Great Break Thanks To You... ~FDU ENT.~&quot;-- nasty ! (:
sadness,where the Man United fans at tho lol lol feel for Man City tho
worry,Math is amazing and hell at the same time  socialily that is the naiv part is fine.
surprise,"Something is strange here, the Lions are playing good in the first half "
joy,"I'm reading reviews, for the Amazon Kindle, leather case with, one light. / "
love,@OhSweetNibblets  16 too   crazy about miley and JB and in love with Nick Jonas haha
worry,is still waiting.
surprise,@ScionCanada If I find an iQ under me seat in the theater I can keep the car? @ScionEvolution 
worry,R.I.P little bird that flew into my window snapping his neck
joy,"@jjjasia Hehe, I'm sure it was.. I lived there for 2 years while in College. The dream is to go back and stay. My home away from home&lt;3"
love,@Mr_Bloggerific HA!  Nice try.  I will outright deny any accusations.  But good luck with that...
joy,Classic Christmas movies followed by hot cocoa. 
love,@ashleythegreat I love you too baby  see i'm cool now!!!
love,@tommcfly can't you write a song without your guitar? i thought you could  look for something to do!
anger,"During the Summer, at my workplace, a person kept interfering with my tasks and making unfounded remarks.  I felt hatred for him but it stopped when I realized that he just longed for attention."
sadness,I remember that when my mother died the day was sad and every time I think of it I am saddened by the loss of my mother.
worry,Nooo i wanna watch the comet  dont wanna go workk!!!
joy,Didn't sleep last night..and now it's rime for class. 
sadness,"I spent a weekend in San Diego visiting my boyfriend Rob. We were at the airport and my plane was just about so leave. After saying goodbye, I boarded the plane. It was the hardest thing to do and it was a sad trip home."
surprise,I am going to ur country the next year ARE U READY!?  
worry,@minhteeeefresh haiiii sankQ i'm fineee ima js get a checkup cos my rib hurts LOL idk but i shall be fine ~ thanks
love,@princesssuperc you were amazing on snl!! loved it!
sadness,Walking down the street and my knee just gave out on me. When I fell it looked like haha
joy,"It might rain at  today, but I don't care. It's time to ride some rides! #holidayinthepark"
worry,Am I the next Blumenthal?!
sadness,"I felt pierced to the heart , dejected and lonely . "
anger,"There was one teacher who used to get so mad that she would throw slates around , with the whole class ducking out of the way . "
joy,Excited to create memories today that will strike &amp; delight me for years to come!  #Courage #Love
love,YES! getting my sky + back on wednesday  been waiting weeks for it (:
neutral, I will . 
love,@mistressmia And U are doing Brilliantly sweetie!!!   Blessings and Joy to you!!!
sadness,Last class with naomi gal 
surprise,best part of the day is opening the third floor quiet section door with @BOPPtimusPrime and @GuacaMollyM waiting there for me. 
fear,"When I was a child, I fell into a cellar (when playing) and could be freed only with big difficulties."
anger,Laying in bed so tired that you can't fall asleep...... Ya it happens..... 
worry,i totally need to go to the doctor for my arm...this bitch is STILL hurtin like hell      i shall return
anger,@nicoleplumlee UGH I HATE NOT HAVING MY PHONE  #denial
anger,"All through his life , though Ken could be austere and stubborn to a point which provoked exasperation , his evident holiness was so blended with cheerfulness that he seldom lost the admiration and affection of his contemporaries . "
love,I'm having a fantastically miserable time so far...
anger,` He was livid . 
worry,forgot to renew my drivers license
anger,"But his initial anger at finding the latest two victims of the insane killer 's bloodlust , blazed into an all-consuming hatred of the man who had done it . "
sadness,It feels odd to watch American Horror Story without @brammerbrian3 @SummerHerzfeldt and @jvitolo22 
worry,just picked her kids up from Challenger for the last time.
surprise,@ricorogers Yehh same but reality is unless ur protour it's hard to get di2 for a whole team. Not sure wat we riding next year yet 
worry,Missing my baby ducks
worry,I need to get it together before Ricky gets home. He is not going to be pleased about me breaking up this damn bathroom
worry,we dropped the baton in the 4x1.  so now i'm getting ready for the open 400. wish me luck!
anger,During military service a superior reproached me unjustly. This led to friction in a lot of situations.
sadness,When my father was ill.
worry,Quiet day at work 2day.Just had dinner. Whats doin out there?
joy,wooWOOF Hear bells that R ringing Christmas time is so near Itz a wondrful time of th year Wishes for  &amp; good #Cheer 2u&amp;urs
anger, Put on a sweater ! I ’ m not gonna let you run up my heating bill just because it ’ s a bit chilly . 
neutral, I hope so . 
love,Greg:Showing my friends AudioBoo http://audioboo.fm/ Everyone seems 2 love it. Ta for the headzup bro. So need 2 get iPhone. Roll on June
love,@Wandahope  Hey Wanda great to tweet with u and many thx for the info re dobro and what a fantastic sound. Son House is a fav of mine
love,"@tommcfly Would love it if you guys toured here, really! Philippines tour?"
worry,that just sucks!
joy,"A very early morning here. Company CSR Day, will be with old people...wooweee. Sending all  #compassion #peace"
anger,Experiencing all stages of grief this finals week  #bargaining #depression #acceptance #ImGoingToFail
sadness,"So I got very , very depressed about it all and I just said to the officers , ` Put me in my cell and leave me alone . "
joy,Imma decorate my house b4 I get my son so I can see his eyes light up when he gets home! 
love,@ryan_lopez I love you  kiss me!
fear,"His voice was tetchy , but not alarmed . "
fear,&quot; You should have the of losing one's softness in the heart and its hardening.&quot;#islam
joy,&quot;The walls we build around us to keep out the sadness also keep out the joy.&quot; - OR gives you the 
sadness,I cant see an Alvin and the Chipmunks commercial without missing my best friend. 
neutral, Good idea . 
sadness,"Unless they are given opportunities to express their grief in appropriate ways which can include weeping for loss , they will never be able to acquire the creative energy necessary to find a new job . "
anger,They had returned much less of my taxes than I had expected. 
fear,The pole of light outside my window is shaking violently.  
joy,@walton0987 @adurose84 Goin to brave town.....Xmas shopping 
joy,"@truongthomas Oh really? Ultra cute. *brief pause, links through @LittleTigerUK* The hedgehog bakes cookies, evidently! "
sadness,Why does cyber Monday have to be today when I can't afford to spend anything right now? 20% off everything on the Bruins site. 
love,@Leikela4 glad its nice there. Gray skies and rainy in wisconsin.
love,@verabradley I love my Cargo Sling purse in Daisy Daisy!  I wish I would have gotten another one in a different color!
anger,When some seniors tried to scold and insult some juniors on account of what the juniors were supposed to have said at secondary school.
anger,"Untidy work led to rows , rows led to confrontation , confrontation led to the boy being soundly thrashed by his exasperated mother . "
love,It baffles me how much Radio Shack isn't the same Radio Shack I grew up with
fear,"&quot;A leader is a coach, not a judge.&quot;  #lean #systemsthinking #development #HR"
joy,Each present or sorrow seems the chief.
sadness,There's so much emotional stress! Schools tomorrow. I did no homework. My stomach is too full. and i have no prom date 
sadness,Trying to find something to about the place but I have found I have done everything already :c 
fear,"“@RevRunWisdom not afraid of tomorrow, for I have seen yesterday and I love today #less”"
love,just got home. Yay!  Hi guys! http://plurk.com/p/svdpu
joy,I felt extreme joy the day I was baptized. I was one with God.
anger,"I was at the corner shop, which I patronise regularly I had only a $ 50 note and I purchased about $ 3 worth of goods that I really needed - the keeper made sarcastic remarks to others about people using him to cash notes."
love,oh greg  i want to hug you.
joy,"Ending my night on a bad note, which probably means ill be in a bad mood in the morning. "
love,@SarahAMurdoch YOU LOOKED ABSOLUTELY BEAUTIFUL AND ELEGANT.
joy," That sounds like fun , but did you exercise ? "
love,Cant believe how lucky i am to have such an amazing boyfriend
love,"Feeling very grateful for such a great Mum, and family"
sadness,Jesus felt despair and sorrow to such an extent that there is a mood of desperation in the story . 
sadness,"` Well , you 're very sad , Tess , and you have no reason to be . "
sadness,Helpin Brandon and brittany move her parents stuff! 
sadness,"@heller51 okay, but i have a feeling when that time comes you'll become silent and it wont happen "
worry,Rain on my parade of beer and fire
sadness,@TuckerScottXXX 2 days till I'm in LA. 
joy,is the product of the Spirit and of following the leading of the Spirit in #prayer and fellowship with God.-Joyce Meyer
surprise,"RT, follow @unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends! #RT #WIN"
surprise,@igsmalls poland is ranked high for best looking people in the world. 
joy,Finally having a new radiator fitted into the bathroom. Now I won't freeze when I get in there :D 
anger,"When I tried to explain to a plumber, face to face, that the toilet was broken and he did not believe it (it had been mended ten times)."
surprise,"Mijn die ik aan het maken ben word nogal inspiratieloos, het lijkt op een cadeau, maar dan wat groter?"
love,back from melly's party... i had fun...  i'm sleepy now...
worry,@143presents What time you close today? Is it the last day today or tmr? I may shed a tear
fear,Strictly avoid frightening ideas 
surprise,Who's getting booted out tonight?  The confused  or naïve   is the name of the game! #SurvivorSouthPacific
sadness,I miss you so freaking much! :'( & it's your turn to talk to me. 
fear,Fantastic expectations amazing revelations 
neutral, But there is always somebody who wants to turn his back on the true history . 
sadness,Always tired in winter.. Must be the darkness 
worry,@DaSqUeAkYOne those were the good days the jetsons comes on right after finltstones ! i missed it today tho
joy,But this that I have.. The world didn't give it to me.. &amp;&amp; guess what?!? .. The world can't take it away!!
joy,The London Irish Women 's Centre are pleased to announce that the Irish language classes for adults will continue with Siobhan Ni Neill on Fridays from 10.30 am to 12.30 starting on Feb 7 . 
fear,"doubt is the root of all , that would make #Faith the strongest thing on earth!!!"
joy,It is not that makes us grateful. It is #gratitude that makes us joyful. -David Rast
joy,the road to recovery starts with self [re]discovery.  
surprise,You came home after the service with your name sake or u forgotten so soon? RT @Precious_Ajunwa: @marcellinus Visit ??? 
worry,"@ShannonKuhns Nah, they don't. All my Twiter followers are fabulous."
joy,On my way to clean the mess that was made at Urban today. 
worry,mary hates me again  i wana walmart it butno one wants to go
sadness,Hi . I just lost my purse when I was shopping on the street . I guess somebody stole it from me . 
worry,Epsilon Greater than Zero misses her Mommy.  http://apps.facebook.com/catbook/profile/view/5626035
joy,How come strapping myself to a board and plummeting makes me so damned happy?!  
joy,"During the period of falling in love, each time that we met and especially when we had not met for a long time."
worry,"Have lots 2do as usual! laundry, thanking God, cleaning house, praising God, cutting the hedge and thanking and praising God some more!"
fear,"not afraid of tomorrow, for I have seen yesterday and I love today #less"
surprise,win. overtime game with a ranked team on a wednesday night
sadness,“@tomoxley1: @blkdemigod I'm a west london boy. Its all about Fridays on the Kings Road!!” &gt;&gt; Fridays is for me and the tv! 
fear,"“@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less”"
surprise,Attempted backing my car all the way up my driveway. Turns out I'm not that good at it. 
joy,"Joy.  No matter the season, circumstance, or company-Joy is the goal.  "
fear,When I came to know that my exams were on two successive days and that there was very little time (about 9-10 hours) to study in between.
neutral, So ? 
joy,@AgentWKS a Fabulous Thanksgiving to you William. May your day be filled with   #food #family and many #blessings
worry,@vivzy yeps...just for today though  I badly wanted to do some geek-shopping...
neutral, Why ? 
joy,At a Walmart FINALLY!!!!! o how I am so thankful for Walmart it make me happy!!! 
fear,The thing with is you can run away from it but it won't stop until you learn to face it.
anger,My young brother took my wristwatch in my abscence and sold it to his friend at a cheaper price.
sadness," Oh , that's too bad ! I am sorry to hear that ! "
fear,I hate goodbyes ... I hope I don't get one soon !!! 
neutral,"Hi Rose , what are you busy with right now ? "
anger,"Sale al myl birkin hermes bag,sick of it almost all people wear it with proud suffer 4 society,while so many children suffer 4 hunger "
worry,@Gaylib1986 it was just areply on you facebook status that you were a little upset
fear,"«@RevRunWisdom not afraid of tomorrow, for I have seen yesterday and I love today #less»"
joy,Job hunting with Kelly 
anger,"Listened to Darth Vader for and hour and a half, snapped 3 pencils in half with one hand, and threw one at him. "
worry,@Sij8 2002 - the TSX is nice just cuz it's a new car- handles nice but doesn't have the horses of the TL-S
surprise,I love songs that start off as acoustic/symphony and then suddenly they decided to drop dubstep bass or other sort of stuffs in. 
surprise,"@JuliaLeader I reeeeeellllyyyyyyy need to tell you something, but guess what. My go phone is fucked up. #gotohellmexicanphone"
fear," &quot;@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less&quot;"
worry,I keep pulling out my knitting at my desk and then putting it back.  Not good!  Not good!    T-minus 15 minutes till release........
sadness,"Lewis Verne-Smith sat shaking his head , less as a gesture of denial than of a generalized despair at the state of the world . "
sadness," My friend and I was argued with each other . For this , I ’ m very sad . Because I don ’ t want to lose this friend . "
joy,The bitch is leaving the jungle 
fear,The court expressed dismay that Wiltshire Social Services had called in a voluntary agency -- the NSPCC -- to help look after him . 
worry,"Still no pic, very sad"
fear,"IMPRESSED just this side of awe as I am by the Department of Transport and its fearless tackling of such problems as juggernaut lorries and EEC regulations , I must nevertheless confess some disquiet about a recent plan . "
worry,@rammohanr Yea...looks like it is...sorry abt nt gettin in touch..was hectic
surprise,"Charles was absolutely flabbergasted , but he had n't really got time to analyse his reactions . "
fear,"@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less"
joy,It's a christmas miracle - NBA will soon be back! 
worry,@quwanaisnotmynm no  the love of my life is. so i guess now im definately shooting for good
sadness,I don't know how to adjust my life . Would you give me a piece of advice ? 
fear,Afraid of a dead body.
surprise,Fighting with my mom about clothes 
fear, to perform You're Gonna Go Far Kid by Offspring on my next tour! having regrets #TWLOHA @TWLOHA
worry,waiting to go to 4th period to get the final over with. omgg im sooo gonna fail
joy,Babysitting the red head children again 
joy,"Considering I procrastinated all weekend, I have all day to do my homework:/ oh what a "
anger,When my mother quarrelled with my aunt over me.
neutral,"Hi , Charles . What's the matter ? "
joy,When I got accepted to CAL.
joy,"He felt elated , warm-hearted at the sight of the place where he 'd been born . "
joy,Wrestling season... I officially have no life. 
worry,@JillzWorth i rarely sleep.. cant help it   hehe
